Symbol,LTP,SMMA20,SMMA120,RSI,Signal,Confidence,Reason,Historical Rows,Scan Time
PARAGMILK-EQ,215.79,223.46,233.27,42.26,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:48:54
UDS-EQ,209.8,197.1,173.5,59.97,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:48:55
CEIGALL-EQ,319.3,344.33,312.47,35.49,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:48:57
EMULTIMQ-EQ,42.2,41.5,41.21,61.7,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:48:58
AMJLAND-EQ,39.3,38.43,41.07,53.81,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:48:59
KARMAENG-EQ,40.1,40.01,43.37,52.88,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:49:01
NKIND-EQ,60.25,62.1,64.17,47.24,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,165,2026-08-12 19:49:02
ISFT-EQ,79.5,78.71,80.28,53.04,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:49:04
HINDWAREAP-EQ,205.0,225.82,230.67,31.71,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:49:05
EMSLIMITED-EQ,381.25,395.94,361.47,41.33,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:49:06
OMINFRAL-EQ,88.29,88.44,88.75,49.39,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:49:08
PATANJALI-EQ,350.8,376.81,460.87,36.38,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:49:09
UNITEDTEA-EQ,461.0,479.38,493.83,39.85,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:49:11
HDFCGOLD-EQ,130.6,124.32,126.07,72.6,HOLD,33.33,No complete signal,168,2026-08-12 19:49:12
PROZONER-EQ,41.7,44.43,49.9,39.88,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:49:13
NEXT50IETF-EQ,78.61,76.59,73.35,66.85,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:49:15
RCF-EQ,124.11,127.86,129.71,38.61,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:49:16
MASTERTR-EQ,78.51,82.36,87.86,39.93,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:49:17
KREBSBIO-EQ,54.74,56.52,59.46,46.71,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:49:19
UCAL-EQ,116.25,114.66,107.78,50.28,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:49:20
SHREYANIND-EQ,142.53,141.11,153.57,54.62,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:49:22
SWANCORP-EQ,307.7,313.87,358.52,44.34,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:49:23
IPL-EQ,142.0,152.3,157.58,28.88,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:49:24
SERVOTECH-EQ,83.75,92.35,85.14,34.19,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:49:26
GPPL-EQ,149.79,151.59,161.99,46.23,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:49:27
DOLLAR-EQ,278.9,268.27,287.83,58.1,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:49:29
MOSCHIP-EQ,205.19,215.98,201.97,41.05,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:49:30
NIBL-EQ,32.94,33.47,31.38,45.44,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:49:31
