Symbol,LTP,SMMA20,SMMA120,RSI,Signal,Confidence,Reason,Historical Rows,Scan Time
MAXESTATES-EQ,422.0,413.74,410.62,54.87,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:51:03
UGARSUGAR-EQ,44.15,41.85,40.28,56.25,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:51:06
UFLEX-EQ,496.0,460.2,446.2,68.05,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:51:07
CANTABIL-EQ,226.6,240.05,251.67,36.68,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:51:08
NIFTY100EW-EQ,35.71,35.1,34.02,59.96,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:51:10
NEXT30ADD-EQ,43.88,42.82,41.37,64.79,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:51:11
DELTAMAGNT-EQ,57.5,58.92,61.3,45.84,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:51:14
RTNINDIA-EQ,30.26,32.51,34.15,36.73,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:51:21
PRECAM-EQ,134.83,143.89,146.33,34.0,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:51:22
DAMCAPITAL-EQ,146.15,153.92,162.86,37.8,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:51:24
SETL-EQ,300.05,258.06,172.08,66.59,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:51:25
SUKHJITS-EQ,161.3,167.33,172.73,43.83,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:51:29
POONAWALLA-EQ,483.1,461.14,438.45,57.21,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:51:31
AFCONS-EQ,267.95,290.31,320.37,35.47,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:51:33
GHCL-EQ,431.35,438.92,481.36,43.56,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:51:36
GSFC-EQ,160.69,161.23,167.03,49.97,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:51:40
ORIENTELEC-EQ,189.0,178.68,176.88,64.48,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:51:44
PRSMJOHNSN-EQ,106.04,112.32,122.62,38.15,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:51:50
REDINGTON-EQ,339.4,296.94,258.8,67.56,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:51:52
SIMPLEXINF-EQ,252.0,247.06,231.06,53.63,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:51:55
SDBL-EQ,71.5,72.68,82.87,48.39,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:51:56
KHAITANLTD-EQ,142.0,136.62,116.55,52.81,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:52:02
LTFOODS-EQ,426.7,397.26,393.51,69.29,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:52:03
SOMATEX-EQ,92.5,98.97,106.5,37.59,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:52:15
PREMIERPOL-EQ,73.21,69.0,57.12,54.74,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:52:16
NDTV-EQ,76.55,78.45,81.08,42.59,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:52:23
INFOBEAN-EQ,162.88,165.01,175.88,47.04,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:52:28
UJJIVANSFB-EQ,72.38,65.95,59.38,65.12,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:52:30
MOQUALITY-EQ,206.0,202.66,198.11,57.7,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:52:31
TIMETECHNO-EQ,208.56,197.21,184.66,59.74,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:52:33
KRITINUT-EQ,85.52,81.54,77.34,56.57,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:52:34
MOGSEC-EQ,65.6,65.11,63.92,54.21,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:52:35
BANKIETF-EQ,59.43,58.75,58.66,56.02,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:52:37
GUFICBIO-EQ,426.0,387.46,333.73,67.02,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:52:42
CONSUMIETF-EQ,125.4,122.54,119.86,61.44,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:52:44
INDIACEM-EQ,383.5,391.42,405.55,43.33,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:52:45
BIOCON-EQ,427.4,424.26,396.19,50.57,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:52:48
MAHABANK-EQ,81.87,81.08,73.47,54.05,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:52:54
ARTEMISMED-EQ,316.3,286.56,258.57,67.49,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:53:02
PRIMESECU-EQ,287.35,283.92,281.4,52.29,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:53:03
ZODIAC-EQ,244.65,261.22,274.47,35.13,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:53:08
RUSTOMJEE-EQ,374.3,399.57,431.4,35.34,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:53:12
ITI-EQ,283.0,286.2,288.8,48.01,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:53:13
SBIETFQLTY-EQ,225.72,222.18,220.8,55.93,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:53:19
STEELCAS-EQ,333.2,312.1,262.78,60.79,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:53:20
AMRUTANJAN-EQ,488.35,529.52,570.85,31.99,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:53:23
IIFLCAPS-EQ,338.0,336.96,327.78,52.58,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:53:27
SHAHALLOYS-EQ,71.88,69.27,67.45,59.07,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:53:31
JAYSREETEA-EQ,91.0,85.2,85.0,65.07,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:53:33
